yearID,player_name,awardID,salary
2016,Zack Greinke,Gold Glove,31799030
2008,Alex Rodriguez,Silver Slugger,28000000
2016,Miguel Cabrera,Silver Slugger,28000000
2016,Yoenis Cespedes,Silver Slugger,27328046
2005,Alex Rodriguez,Most Valuable Player,26000000
2005,Alex Rodriguez,Silver Slugger,26000000
2014,Zack Greinke,Gold Glove,26000000
2015,Zack Greinke,Gold Glove,25000000
2012,Mark Teixeira,Gold Glove,23125000
2012,Prince Fielder,Silver Slugger,23000000
2013,Joe Mauer,Silver Slugger,23000000
2007,Alex Rodriguez,Most Valuable Player,22708525
2007,Alex Rodriguez,Silver Slugger,22708525
2010,Derek Jeter,Gold Glove,22600000
2004,Manny Ramirez,Silver Slugger,22500000
2016,Max Scherzer,Cy Young Award,22142857
2001,Alex Rodriguez,Silver Slugger,22000000
2002,Alex Rodriguez,Gold Glove,22000000
2002,Alex Rodriguez,Silver Slugger,22000000
2003,Alex Rodriguez,Gold Glove,22000000
2003,Alex Rodriguez,Most Valuable Player,22000000
2003,Alex Rodriguez,Silver Slugger,22000000
2005,Manny Ramirez,Silver Slugger,22000000
2015,Miguel Cabrera,Silver Slugger,22000000
2007,Derek Jeter,Silver Slugger,21600000
2008,Derek Jeter,Silver Slugger,21600000
2009,Derek Jeter,Gold Glove,21600000
2009,Derek Jeter,Silver Slugger,21600000
2012,Miguel Cabrera,Most Valuable Player,21000000
2012,Miguel Cabrera,Silver Slugger,21000000
2012,Miguel Cabrera,Triple Crown,21000000
2013,Miguel Cabrera,Most Valuable Player,21000000
2013,Miguel Cabrera,Silver Slugger,21000000
2013,Zack Greinke,Silver Slugger,21000000
2014,Adrian Gonzalez,Gold Glove,21000000
2014,Adrian Gonzalez,Silver Slugger,21000000
2016,Buster Posey,Gold Glove,20777778
2009,Mark Teixeira,Gold Glove,20625000
2009,Mark Teixeira,Silver Slugger,20625000
2010,Mark Teixeira,Gold Glove,20625000
2006,Derek Jeter,Gold Glove,20600000
2006,Derek Jeter,Silver Slugger,20600000
2016,Rick Porcello,Cy Young Award,20125000
2003,Manny Ramirez,Silver Slugger,20000000
2010,Miguel Cabrera,Silver Slugger,20000000
2005,Derek Jeter,Gold Glove,19600000
2016,Jason Heyward,Gold Glove,19555288
2009,Carlos Zambrano,Silver Slugger,18750000
2003,Carlos Delgado,Silver Slugger,18700000
2008,Carlos Beltran,Gold Glove,18622809
2004,Derek Jeter,Gold Glove,18600000
2006,Manny Ramirez,Silver Slugger,18279238
2004,Barry Bonds,Most Valuable Player,18000000
2004,Barry Bonds,Silver Slugger,18000000
2009,Torii Hunter,Gold Glove,18000000
2009,Ichiro Suzuki,Gold Glove,18000000
2009,Torii Hunter,Silver Slugger,18000000
2009,Ichiro Suzuki,Silver Slugger,18000000
2010,Ichiro Suzuki,Gold Glove,18000000
2016,Adrian Beltre,Gold Glove,18000000
2008,Ichiro Suzuki,Gold Glove,17102149
2014,Adrian Beltre,Silver Slugger,17000000
2015,Brian McCann,Silver Slugger,17000000
2008,Torii Hunter,Gold Glove,16500000
2015,Buster Posey,Silver Slugger,16500000
2010,Matt Holliday,Silver Slugger,16333327
2016,Mike Trout,Silver Slugger,16083333
2016,Mike Trout,Most Valuable Player,16083333
2008,Carlos Zambrano,Silver Slugger,16000000
2015,Carlos Gonzalez,Silver Slugger,16000000
2016,David Ortiz,Silver Slugger,16000000
2010,Roy Halladay,Cy Young Award,15750000
2012,Derek Jeter,Silver Slugger,15729364
2003,Barry Bonds,Most Valuable Player,15500000
2003,Barry Bonds,Silver Slugger,15500000
2011,Prince Fielder,Silver Slugger,15500000
2002,Manny Ramirez,Silver Slugger,15462727
2012,Josh Hamilton,Silver Slugger,15250000
2015,Yadier Molina,Platinum Glove,15000000
2014,Yadier Molina,Platinum Glove,15000000
2012,Adrian Beltre,Platinum Glove,15000000
2002,Barry Bonds,Most Valuable Player,15000000
2002,Barry Bonds,Silver Slugger,15000000
2002,Sammy Sosa,Silver Slugger,15000000
2012,Adrian Beltre,Gold Glove,15000000
2013,Robinson Cano,Silver Slugger,15000000
2014,Nick Markakis,Gold Glove,15000000
2014,Yadier Molina,Gold Glove,15000000
2015,Yadier Molina,Gold Glove,15000000
2011,Aramis Ramirez,Silver Slugger,14600000
2010,Albert Pujols,Gold Glove,14595953
2010,Albert Pujols,Silver Slugger,14595953
2007,Vladimir Guerrero,Silver Slugger,14500000
2013,David Ortiz,Silver Slugger,14500000
2009,Albert Pujols,Most Valuable Player,14427326
2009,Albert Pujols,Silver Slugger,14427326
2014,Justin Upton,Silver Slugger,14250000
2015,Nelson Cruz,Silver Slugger,14250000
2013,Yadier Molina,Gold Glove,14200000
2013,Yadier Molina,Silver Slugger,14200000
2011,Adrian Beltre,Platinum Glove,14000000
2006,Albert Pujols,Gold Glove,14000000
2007,Andruw Jones,Gold Glove,14000000
2009,Mark Buehrle,Gold Glove,14000000
2010,Mark Buehrle,Gold Glove,14000000
2011,Adrian Beltre,Gold Glove,14000000
2011,Mark Buehrle,Gold Glove,14000000
2011,Adrian Beltre,Silver Slugger,14000000
2012,Robinson Cano,Gold Glove,14000000
2012,Robinson Cano,Silver Slugger,14000000
2014,Jose Bautista,Silver Slugger,14000000
2016,Ian Kinsler,Gold Glove,14000000
2008,Albert Pujols,Most Valuable Player,13870949
2008,Albert Pujols,Silver Slugger,13870949
2003,Mike Hampton,Gold Glove,13625000
2003,Mike Hampton,Silver Slugger,13625000
2001,Mike Piazza,Silver Slugger,13571429
2007,Carlos Beltran,Gold Glove,13571429
2007,Carlos Beltran,Silver Slugger,13571429
2006,Carlos Beltran,Gold Glove,13571428
2006,Carlos Beltran,Silver Slugger,13571428
2006,Andruw Jones,Gold Glove,13500000
2006,Vladimir Guerrero,Silver Slugger,13500000
2016,Brett Gardner,Gold Glove,13500000
2008,Adrian Beltre,Gold Glove,13400000
2000,Randy Johnson,Cy Young Award,13350000
2001,Randy Johnson,Cy Young Award,13350000
2002,Randy Johnson,Cy Young Award,13350000
2002,Randy Johnson,Pitching Triple Crown,13350000
2007,Derrek Lee,Gold Glove,13250000
2007,David Ortiz,Silver Slugger,13250000
2007,Magglio Ordonez,Silver Slugger,13200000
2002,Greg Maddux,Gold Glove,13100000
2005,Bobby Abreu,Gold Glove,13100000
2001,Manny Ramirez,Silver Slugger,13050000
2004,Gary Sheffield,Silver Slugger,13000000
2005,Andruw Jones,Gold Glove,13000000
2005,Gary Sheffield,Silver Slugger,13000000
2005,Andruw Jones,Silver Slugger,13000000
2007,Johan Santana,Gold Glove,13000000
2013,Shane Victorino,Gold Glove,13000000
2014,Adam Jones,Gold Glove,13000000
2007,Adrian Beltre,Gold Glove,12900000
2011,Justin Verlander,Cy Young Award,12850000
2011,Justin Verlander,Most Valuable Player,12850000
2011,Justin Verlander,Pitching Triple Crown,12850000
2002,Larry Walker,Gold Glove,12666667
2001,Greg Maddux,Gold Glove,12500000
2001,Sammy Sosa,Silver Slugger,12500000
2004,Andruw Jones,Gold Glove,12500000
2005,Ichiro Suzuki,Gold Glove,12500000
